customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,is_new_customer,tenure_years,lifecycle_stage,avg_monthly_spending,price_tier,expected_total,spending_ratio,is_high_value,total_services,has_internet,has_phone,has_streaming,has_security,engagement_level,contract_level,has_long_contract,uses_paperless,risky_payment,uses_auto_payment,has_family,family_size,senior_with_dependents,single_senior,customer_profile,churn_risk_score,is_high_risk,value_risk_ratio,engagement_per_dollar,cluster,Churn_binary,segment_name
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,1-2 Years,0,1.3333333333333333,Growing,20.425,Low,303.2,1.074293228139382,0,1,0,1,0,0,Low,2,1,0,0,1,0,1,0,0,Adult Alone,3,0,81.7,0.0527704485488126,2,0,Budget Committed
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,4+ Years,0,4.833333333333333,Loyal,97.95,High,5820.299999999999,0.9759160325013316,1,5,1,1,1,1,High,1,1,0,0,1,1,2,0,0,Adult with Family,1,0,2840.55,0.0498256103637269,1,0,Loyal Premium
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,4+ Years,0,4.083333333333333,Loyal,102.78163265306122,High,5081.3,0.9909489797926136,1,6,1,1,1,1,High,0,0,1,0,1,0,1,0,0,Adult Alone,4,0,1007.26,0.0578592092574734,1,1,Loyal Premium
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,2-4 Years,0,2.083333333333333,Mature,107.442,High,2637.5,1.018021603183627,0,7,1,1,1,1,High,0,0,1,1,0,0,1,0,0,Adult Alone,7,1,335.75625,0.0663507109004739,0,0,At-Risk Mid-Tier
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,4+ Years,0,5.75,Loyal,114.42246376811592,High,7814.25,1.0102236012923451,1,8,1,1,1,1,High,2,1,0,0,1,1,3,0,0,Adult with Family,1,0,3947.575,0.0706401766004415,1,0,Loyal Premium
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,4+ Years,0,4.333333333333333,Loyal,19.672115384615385,Low,1073.8,0.9517584666914776,0,1,0,1,0,0,Low,1,1,0,0,0,0,1,0,0,Adult Alone,1,0,511.475,0.0484261501210653,2,0,Budget Committed
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,4+ Years,0,5.916666666666667,Loyal,103.97535211267606,High,7575.7,0.9743357926273972,1,6,1,1,1,1,High,2,1,0,0,1,1,2,0,0,Adult with Family,1,0,3691.125,0.0562324273664479,1,0,Loyal Premium
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0-1 Year,1,0.8333333333333334,Growing,52.835,Medium,552.0,0.9554249547920436,0,4,1,1,0,1,Medium,0,0,0,0,1,1,3,0,0,Adult with Family,6,1,75.47857142857143,0.072463768115942,3,1,High-Risk New
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1-2 Years,0,1.75,Growing,88.70952380952382,High,1891.05,0.9845934304061732,0,5,1,1,1,1,High,0,0,1,1,0,0,1,0,0,Adult Alone,8,1,206.9888888888889,0.0555247084952804,0,0,At-Risk Mid-Tier
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0-1 Year,1,0.0833333333333333,New,39.65,Medium,39.65,0.97539975399754,0,3,1,0,1,1,Medium,0,0,1,1,0,0,1,0,1,Senior Alone,8,1,4.405555555555555,0.0756620428751576,3,1,High-Risk New
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0-1 Year,1,1.0,Growing,16.854166666666668,Low,237.6,0.8476529756915339,0,1,0,1,0,0,Low,1,1,0,0,1,1,2,0,0,Adult with Family,4,0,40.45,0.0505050505050505,2,0,Budget Committed
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0-1 Year,1,0.0833333333333333,New,20.15,Low,20.15,0.9527186761229316,0,1,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,Adult Alone,7,1,2.51875,0.0496277915632754,3,1,High-Risk New
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,4+ Years,0,4.833333333333333,Loyal,60.43275862068965,Medium,3474.2,1.0086038213627992,0,4,1,1,0,0,Medium,2,1,1,0,1,1,2,0,0,Adult with Family,0,0,3505.1,0.0667779632721202,1,0,Loyal Premium
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,4+ Years,0,4.083333333333333,Loyal,60.61836734693878,Medium,2920.4,1.016738550010269,0,5,1,1,0,1,High,0,0,0,0,1,1,3,0,0,Adult with Family,3,0,742.575,0.0838926174496644,0,0,At-Risk Mid-Tier
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,2-4 Years,0,2.5,Mature,51.02,Medium,1659.0,0.9220481927710844,0,4,1,1,0,1,Medium,0,0,1,0,1,0,1,0,0,Adult Alone,4,0,306.12,0.0723327305605786,0,0,At-Risk Mid-Tier
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,2-4 Years,0,3.9166666666666665,Mature,101.04574468085106,High,4669.45,1.0168506246721407,1,5,1,1,1,0,High,0,0,1,1,0,1,3,0,0,Adult with Family,7,1,593.64375,0.050327126321087,0,1,At-Risk Mid-Tier
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0-1 Year,1,0.0833333333333333,New,30.2,Low,30.2,0.967948717948718,0,2,1,0,0,0,Low,0,0,0,1,0,1,3,0,0,Adult with Family,9,1,3.02,0.0662251655629139,3,1,High-Risk New
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,4+ Years,0,6.0,Loyal,88.46458333333334,High,6498.0,0.9800661640252346,1,8,1,1,1,1,High,2,1,1,0,1,1,2,0,0,Adult with Family,1,0,3184.725,0.0886426592797784,1,0,Loyal Premium
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1-2 Years,0,1.4166666666666667,Growing,64.3,Medium,1099.9,0.992914887819057,0,4,1,1,1,0,Medium,0,0,1,0,0,1,2,0,0,Adult with Family,5,0,182.1833333333333,0.061823802163833,0,1,At-Risk Mid-Tier
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,4+ Years,0,5.916666666666667,Loyal,95.30915492957746,High,6840.849999999999,0.989052668503402,1,6,1,1,0,1,High,2,1,1,0,1,1,2,0,0,Senior with Family,1,0,3383.475,0.0622729631551634,1,0,Loyal Premium
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0-1 Year,1,0.1666666666666666,New,90.825,High,191.0,0.94609375,0,5,1,1,1,1,High,0,0,1,0,1,1,2,0,0,Senior with Family,7,1,22.70625,0.0523560209424083,3,0,High-Risk New
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,2-4 Years,0,2.25,Mature,69.42407407407407,Medium,1786.0500000000002,1.0489074172518955,0,6,1,1,0,1,High,1,1,0,0,0,1,3,0,0,Adult with Family,1,0,937.225,0.0907029478458049,0,0,At-Risk Mid-Tier
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0-1 Year,1,0.0833333333333333,New,20.2,Low,20.2,0.9528301886792452,0,1,0,1,0,0,Low,0,0,0,0,1,0,1,0,0,Adult Alone,7,1,2.525,0.0495049504950495,3,0,High-Risk New
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0-1 Year,1,0.0833333333333333,New,45.25,Medium,45.25,0.9783783783783784,0,2,1,1,0,0,Low,0,0,0,0,1,0,1,0,1,Senior Alone,7,1,5.65625,0.0441988950276243,3,0,High-Risk New
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,4+ Years,0,6.0,Loyal,100.71805555555557,High,7192.8,1.0080485974033195,1,6,1,1,1,1,High,2,1,0,0,1,1,3,0,0,Adult with Family,1,0,3625.85,0.06006006006006,1,0,Loyal Premium
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0-1 Year,1,0.4166666666666667,New,63.38,Medium,348.5,0.9067238912732476,0,2,1,1,0,0,Low,0,0,1,1,0,0,1,0,0,Adult Alone,9,1,31.69,0.0286944045911047,3,1,High-Risk New
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,2-4 Years,0,3.8333333333333335,Mature,77.13695652173914,High,3440.8,1.0309431111627638,0,3,1,1,0,1,Medium,0,0,1,0,1,0,1,0,0,Adult Alone,4,0,709.6600000000001,0.0401069518716577,0,0,At-Risk Mid-Tier
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,2-4 Years,0,2.833333333333333,Mature,104.38970588235294,High,3615.9,0.9812961375763776,0,6,1,1,1,1,High,0,0,1,1,0,0,1,0,0,Adult Alone,7,1,443.65625,0.0564174894217207,0,1,At-Risk Mid-Tier
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0-1 Year,1,0.9166666666666666,Growing,100.4909090909091,High,1076.35,1.0260361071146795,0,5,1,1,1,1,High,0,0,1,0,1,0,1,0,0,Adult Alone,7,1,138.175,0.0510986203372509,3,1,High-Risk New
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0-1 Year,1,0.8333333333333334,Growing,47.57,Medium,495.5,0.9581067472306144,0,3,1,1,0,0,Medium,1,1,0,0,0,1,3,0,0,Adult with Family,3,0,118.925,0.0605449041372351,3,0,High-Risk New
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,4+ Years,0,5.833333333333333,Loyal,69.605,Medium,4844.0,1.0056449948400414,1,5,1,1,1,1,High,2,1,1,0,1,1,3,0,0,Adult with Family,0,0,4872.35,0.0722543352601156,1,0,Loyal Premium
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,1-2 Years,0,1.4166666666666667,Growing,24.602941176470587,Low,352.75,1.182332155477032,0,1,0,1,0,0,Low,1,1,0,0,0,1,3,0,0,Adult with Family,3,0,104.5625,0.0481927710843373,2,0,Budget Committed
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,4+ Years,0,5.25,Loyal,77.16587301587302,High,5030.549999999999,0.9661933201498544,1,7,1,1,1,1,High,2,1,1,0,1,0,1,0,0,Adult Alone,0,0,4861.45,0.0876643706950532,1,0,Loyal Premium
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,1-2 Years,0,1.0833333333333333,Growing,75.49615384615385,High,990.6,0.9897640177490924,0,6,1,1,1,1,High,0,0,1,1,0,1,2,0,0,Adult with Family,7,1,122.68125,0.0787401574803149,0,0,At-Risk Mid-Tier
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,4+ Years,0,4.083333333333333,Loyal,79.72857142857143,High,4140.5,0.9433055656163224,1,3,1,1,1,0,Medium,0,0,1,1,0,0,1,0,0,Adult Alone,6,1,558.1,0.0355029585798816,0,0,At-Risk Mid-Tier
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0-1 Year,1,0.1666666666666666,New,48.5,Medium,98.5,0.9748743718592964,0,3,1,1,0,0,Medium,0,0,0,0,0,0,1,0,0,Adult Alone,6,1,13.857142857142858,0.0609137055837563,3,0,High-Risk New
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0-1 Year,1,0.1666666666666666,New,72.075,High,161.3,0.8881700554528651,0,3,1,1,1,0,Medium,0,0,1,1,0,0,1,0,0,Adult Alone,9,1,14.415,0.0371977681339119,3,1,High-Risk New
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4+ Years,0,4.333333333333333,Loyal,81.11153846153846,High,4147.0,1.0168273866923818,1,6,1,1,1,1,High,2,1,1,0,1,0,1,0,0,Adult Alone,0,0,4217.8,0.0752351097178683,1,0,Loyal Premium
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4+ Years,0,5.75,Loyal,61.6536231884058,Medium,4426.35,0.9608682394660464,1,5,1,1,0,1,High,2,1,1,0,1,1,3,0,0,Adult with Family,0,0,4254.1,0.0779423226812159,1,0,Loyal Premium
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,2-4 Years,0,3.583333333333333,Mature,89.27325581395348,High,3880.75,0.98892252205835,1,4,1,1,1,0,Medium,0,0,1,1,0,0,1,0,1,Senior Alone,7,1,479.84375,0.0443213296398892,0,0,At-Risk Mid-Tier
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1-2 Years,0,1.25,Growing,95.09333333333332,High,1486.5,0.9589243697478992,0,6,1,1,1,1,High,0,0,1,0,1,0,1,0,0,Adult Alone,6,1,203.77142857142857,0.0605449041372351,0,1,At-Risk Mid-Tier
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,2-4 Years,0,2.083333333333333,Mature,70.10600000000001,Medium,1737.5,1.0081392004601668,0,5,1,1,1,1,High,0,0,1,0,1,1,2,0,0,Senior with Family,4,0,350.53000000000003,0.0719424460431654,0,0,At-Risk Mid-Tier
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0-1 Year,1,0.6666666666666666,Growing,79.1625,High,645.2,0.980037140204271,0,3,1,1,0,0,Medium,0,0,1,0,1,1,2,0,0,Senior with Family,7,1,79.1625,0.0371977681339119,3,1,High-Risk New
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,4+ Years,0,5.0,Loyal,74.27250000000001,High,4491.0,0.9920636687444346,1,7,1,1,1,1,High,1,1,1,0,1,1,3,1,0,Senior with Family,0,0,4456.35,0.0935203740814963,1,0,Loyal Premium
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1-2 Years,0,1.5,Growing,97.36388888888888,High,1718.1,1.0194578558548075,0,4,1,1,1,0,Medium,0,0,1,1,0,0,1,0,1,Senior Alone,8,1,194.72777777777776,0.0419067574646411,0,1,At-Risk Mid-Tier
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,4+ Years,0,5.25,Loyal,100.17777777777778,High,6277.950000000001,1.0051362090795437,1,5,1,1,1,1,High,1,1,1,0,1,1,3,0,0,Adult with Family,1,0,3155.6,0.0501756146512794,1,0,Loyal Premium
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,4+ Years,0,5.5,Loyal,107.21742424242424,High,7157.7,0.9884965147303282,1,7,1,1,1,1,High,1,1,1,1,0,1,3,1,0,Senior with Family,3,0,1769.0875,0.0645458736745043,1,0,Loyal Premium
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,2-4 Years,0,2.833333333333333,Mature,26.302941176470583,Low,848.3,1.0529848110208406,0,1,0,1,0,0,Low,2,1,0,0,1,1,3,0,0,Adult with Family,2,0,298.1,0.0400801603206412,2,0,Budget Committed
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,4+ Years,0,6.0,Loyal,109.07916666666668,High,7740.0,1.0145588425268053,1,6,1,1,1,1,High,2,1,1,0,1,0,1,0,0,Adult Alone,1,0,3926.85,0.055813953488372,1,0,Loyal Premium
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,2-4 Years,0,3.9166666666666665,Mature,100.15106382978723,High,4723.5,0.9963170705894804,1,5,1,1,1,1,High,0,0,1,1,0,1,2,0,0,Adult with Family,7,1,588.3875,0.0497512437810945,0,0,At-Risk Mid-Tier
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,4+ Years,0,5.0,Loyal,90.845,High,5394.0,1.01032437442076,1,4,1,1,1,0,Medium,0,0,1,0,1,0,1,0,0,Adult Alone,4,0,1090.14,0.0444938820912124,0,0,At-Risk Mid-Tier
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,4+ Years,0,6.0,Loyal,41.138888888888886,Medium,3031.2000000000003,0.97684849284348,0,4,1,0,0,1,Medium,2,1,0,0,1,1,2,0,0,Adult with Family,0,0,2962.0,0.0950118764845605,1,0,Loyal Premium
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,1-2 Years,0,1.5,Growing,53.172222222222224,Medium,979.2,0.9764333809426649,0,4,1,1,0,1,Medium,1,1,1,0,1,1,3,0,0,Adult with Family,2,0,319.03333333333336,0.0735294117647058,0,0,At-Risk Mid-Tier
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0-1 Year,1,0.75,Growing,95.25,High,849.6,1.0078180108158947,0,4,1,1,1,0,Medium,0,0,0,1,0,0,1,0,0,Adult Alone,9,1,85.725,0.0423728813559322,3,1,High-Risk New
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0-1 Year,1,0.25,New,81.36666666666666,High,225.9,1.0758043190832969,0,6,1,1,1,0,High,0,0,1,1,0,0,1,0,0,Adult Alone,8,1,27.12222222222222,0.0796812749003984,3,0,High-Risk New
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,2-4 Years,0,3.9166666666666665,Mature,77.66702127659575,High,3708.3,0.9841075135470304,0,3,1,1,0,0,Medium,1,1,1,1,0,1,2,0,0,Adult with Family,3,0,912.5875,0.0380228136882129,0,0,At-Risk Mid-Tier
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2-4 Years,0,2.583333333333333,Mature,80.55483870967741,High,2455.2000000000003,1.0166924517547429,0,7,1,1,1,1,High,2,1,0,0,0,0,1,0,0,Adult Alone,1,0,1248.6,0.0883838383838383,1,0,Loyal Premium
